Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\SingularMatrixException.cs,77,92,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\SingularMatrixException.cs,77,92,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\ExtensionMethods.cs,609,12,M:System.Net.WebClient.#ctor,,,,,var webClient = new WebClient();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\ExtensionMethods.cs,354,8,T:System.Runtime.Serialization.Formatters.Binary.BinaryFormatter,,,,,"public static T DeserializeAnyVersion(this BinaryFormatter formatter, Stream stream)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\DimensionMismatchException.cs,88,95,"M:System.ArgumentException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\DimensionMismatchException.cs,88,95,"M:System.ArgumentException.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\NonPositiveDefiniteMatrixException.cs,77,103,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\Exceptions\NonPositiveDefiniteMatrixException.cs,77,103,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,":              base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,241,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,241,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,194,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,194,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Accord.NET-3.8.0\Accord.Core\Accord.Core (NETStandard).csproj,File,Accord.NET-3.8.0\Accord.Core\AForge.Core\Exceptions.cs,145,12,"M:System.Exception.#ctor(System.Runtime.Serialization.SerializationInfo,System.Runtime.Serialization.StreamingContext)",,,,,": base(info, context)"
